gene_id	gene	chrom	cds_min	cds_max	cds_len_canonical	n_cds_exons_canonical
ENSG00000186092	OR4F5	1	65565	70005	978	2
ENSG00000284733	OR4F29	1	450740	451678	939	1
ENSG00000284662	OR4F16	1	685716	686654	939	1
ENSG00000187634	SAMD11	1	924432	944150	2532	14
ENSG00000188976	NOC2L	1	944697	959240	2247	19
ENSG00000187961	KLHL17	1	960694	965188	1926	12
ENSG00000187583	PLEKHN1	1	966532	974572	1833	16
ENSG00000187642	PERM1	1	976175	981166	2370	3
ENSG00000188290	HES4	1	999062	999973	663	4
ENSG00000187608	ISG15	1	1013574	1014475	495	2
ENSG00000188157	AGRN	1	1020173	1054978	6135	36
ENSG00000237330	RNF223	1	1071820	1072566	747	1
ENSG00000131591	C1orf159	1	1082896	1091543	594	8
ENSG00000162571	TTLL10	1	1179216	1197844	2019	13
ENSG00000186891	TNFRSF18	1	1203594	1206571	723	5
ENSG00000186827	TNFRSF4	1	1211340	1214127	831	7
ENSG00000078808	SDF4	1	1217515	1228793	1065	6
ENSG00000176022	B3GALT6	1	1232279	1233265	987	1
ENSG00000184163	C1QTNF12	1	1242551	1246690	906	8
ENSG00000160087	UBE2J2	1	1255206	1267992	777	6
ENSG00000162572	SCNN1D	1	1280662	1291607	2406	18
ENSG00000131584	ACAP3	1	1293567	1307815	2502	24
ENSG00000169972	PUSL1	1	1308644	1311376	909	8
ENSG00000127054	INTS11	1	1311862	1324613	1800	17
ENSG00000224051	CPTP	1	1326911	1327760	642	2
ENSG00000169962	TAS1R3	1	1331346	1334461	2556	6
ENSG00000107404	DVL1	1	1336145	1349065	2085	15
ENSG00000162576	MXRA8	1	1353304	1361263	1326	10
ENSG00000175756	AURKAIP1	1	1373804	1374756	597	3
ENSG00000221978	CCNL2	1	1387234	1399306	1560	11
ENSG00000242485	MRPL20	1	1402086	1407217	447	4
ENSG00000235098	ANKRD65	1	1419103	1421005	1197	3
ENSG00000205116	TMEM88B	1	1426128	1427784	489	2
ENSG00000179403	VWA1	1	1435749	1439784	1335	3
ENSG00000215915	ATAD3C	1	1450684	1468527	1233	12
ENSG00000160072	ATAD3B	1	1471885	1495814	1944	16
ENSG00000197785	ATAD3A	1	1512269	1534069	1758	16
ENSG00000205090	TMEM240	1	1535362	1540346	519	4
ENSG00000160075	SSU72	1	1542069	1574557	582	5
ENSG00000228594	FNDC10	1	1599338	1600015	678	1
ENSG00000197530	MIB2	1	1615631	1630527	2865	18
ENSG00000189409	MMP23B	1	1632219	1634622	1170	8
ENSG00000248333	CDK11B	1	1635767	1657485	2346	19
ENSG00000189339	SLC35E2B	1	1660106	1676699	1215	8
ENSG00000008128	CDK11A	1	1702910	1722818	2340	19
ENSG00000008130	NADK	1	1752907	1765406	1338	11
ENSG00000078369	GNB1	1	1787334	1825453	1020	9
ENSG00000169885	CALML6	1	1915281	1917190	543	6
ENSG00000178821	TMEM52	1	1917885	1919265	627	5
ENSG00000142609	CFAP74	1	1922290	1990956	4917	38
ENSG00000187730	GABRD	1	2019424	2030279	1356	9
ENSG00000067606	PRKCZ	1	2050631	2185006	1776	18
ENSG00000162585	FAAP20	1	2185281	2194749	540	4
ENSG00000157933	SKI	1	2228767	2306762	2184	7
ENSG00000116151	MORN1	1	2321386	2391533	1491	14
ENSG00000157916	RER1	1	2395791	2403121	588	6
ENSG00000157911	PEX10	1	2405769	2412502	978	6
ENSG00000149527	PLCH2	1	2430515	2505210	4248	22
ENSG00000157881	PANK4	1	2508850	2526587	2319	19
ENSG00000197921	HES5	1	2529472	2530164	498	3
ENSG00000157873	TNFRSF14	1	2556665	2563270	849	8
ENSG00000157870	PRXL2B	1	2586796	2589424	594	7
ENSG00000142606	MMEL1	1	2590993	2629484	2337	23
ENSG00000215912	TTC34	1	2641371	2800827	3237	8
ENSG00000169717	ACTRT2	1	3021687	3022817	1131	1
ENSG00000142611	PRDM16	1	3069260	3433808	3828	17
ENSG00000130762	ARHGEF16	1	3463085	3480584	2127	14
ENSG00000162591	MEGF6	1	3490531	3611268	4623	37
ENSG00000158109	TPRG1L	1	3625073	3628600	816	5
ENSG00000116213	WRAP73	1	3630978	3649999	1380	12
ENSG00000078900	TP73	1	3682366	3733076	1908	13
ENSG00000162592	CCDC27	1	3752482	3771520	1968	12
ENSG00000235169	SMIM1	1	3775374	3775918	234	2
