GENE	LINEAGE	CHR_query	Species	Amino acid length
1433E	GGO	CM055450.2	GGO	147
1433E	GGO	CM055450.2	GGO	122
A1AT	GGO	CM055461.2	GGO	419
AGAP6	GGO	CM055454.2	GGO	687
AL1B1	GGO	CM055458.2	GGO	516
AL1B1	GGO	CM055459.2	GGO	204
ALG1	GGO	CM055449.2	GGO	302
ALG1	GGO	CM055455.2	GGO	201
ALG1	GGO	CM055455.2	GGO	174
ALPG	GGO	CM055457.2	GGO	533
AMACR	GGO	CM055463.2	GGO	223
AMRP	GGO	CM055458.2	GGO	358
AMRP	GGO	CM055458.2	GGO	258
AMRP	GGO	CM055460.2	GGO	389
AMRP	GGO	CM055460.2	GGO	258
AMRP	GGO	CM055462.2	GGO	258
AN18A	GGO	CM055458.2	GGO	1109
AN18A	GGO	CM055459.2	GGO	1128
AN18A	GGO	CM055460.2	GGO	1039
AOXA	GGO	CM055457.2	GGO	1355
ARHGP	GGO	CM055454.2	GGO	303
AUTS2	GGO	CM055452.2	GGO	200
BACD3	GGO	CM055454.2	GGO	319
BFAR	GGO	CM055464.2	GGO	476
C1QT4	GGO	CM055459.2	GGO	247
C1QT4	GGO	CM055460.2	GGO	247
C1QT4	GGO	CM055463.2	GGO	247
CCD14	GGO	CM055458.2	GGO	393
CCNJL	GGO	CM055446.2	GGO	194
CD33	GGO	CM055466.2	GGO	304
CES2	GGO	CM055464.2	GGO	513
CING	GGO	CM055458.2	GGO	482
CNO10	GGO	CM055464.2	GGO	307
COBA2	GGO	CM055464.2	GGO	331
CP3A4	GGO	CM055452.2	GGO	504
CP3A5	GGO	CM055452.2	GGO	502
CPLN1	GGO	CM055465.2	GGO	206
CPLN1	GGO	CM055465.2	GGO	495
CPLN1	GGO	CM055465.2	GGO	1920
CT456	GGO	CM055469.2	GGO	190
CTCF	GGO	CM055466.2	GGO	593
CXAR	GGO	CM055460.2	GGO	364
CXAR	GGO	CM055462.2	GGO	364
DAPK1	GGO	CM055459.2	GGO	1087
DERPC	GGO	CM055453.2	GGO	341
DERPC	GGO	CM055457.2	GGO	339
DERPC	GGO	CM055464.2	GGO	474
DERPC	GGO	CM055466.2	GGO	429
DHRS7	GGO	CM055461.2	GGO	279
DHX40	GGO	CM055450.2	GGO	359
DOK7	GGO	CM055458.2	GGO	505
DOK7	GGO	CM055462.2	GGO	505
DOK7	GGO	CM055468.2	GGO	505
DOK7	GGO	CM055470.2	GGO	505
DRB4	GGO	CM055451.2	GGO	267
DREB	GGO	CM055452.2	GGO	363
DREB	GGO	CM055452.2	GGO	174
DUS7	GGO	CM055450.2	GGO	420
DUS7	GGO	CM055450.2	GGO	417
EF1G	GGO	CM055452.2	GGO	399
F246C	GGO	CM068951.1	GGO	400
F90A5	GGO	CM055453.2	GGO	316
FAM153A	GGO	CM055450.2	GGO	352
FAM86B1	GGO	CM055449.2	GGO	314
FAM86B2	GGO	CM055453.2	GGO	297
FAM95C	GGO	CM055458.2	GGO	1109
FEM1A	GGO	CM055460.2	GGO	747
FEM1A	GGO	CM055460.2	GGO	719
FEM1A	GGO	CM055460.2	GGO	772
FGF7	GGO	CM055460.2	GGO	98
FGF7	GGO	CM055462.2	GGO	164
FGFR3	GGO	CM055458.2	GGO	804
FGFR3	GGO	CM055459.2	GGO	804
FGFR3	GGO	CM055460.2	GGO	804
FGFR3	GGO	CM055462.2	GGO	804
FGFR3	GGO	CM055463.2	GGO	804
FGFR3	GGO	CM055470.2	GGO	804
FKBP9	GGO	CM055452.2	GGO	478
FOXO3B	GGO	CM055450.2	GGO	524
GNA11	GGO	CM055458.2	GGO	360
