gene	chrom	lineage	status	assembly	raw_id
TRO	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000067445
MORC4	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000133131
CD99	X	ALLENOPITHECUS_NIGROVIRIDIS	UL	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000002586
HEPH	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000089472
SPANXA1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198021
L1CAM	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198910
GLA	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102393
RAB41	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147127
LAS1L	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000001497
LONRF3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000175556
CUL4B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000158290
ASB9	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102048
FLNA	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000196924
NKRF	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000186416
CT47A12	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000226685
SAT1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000130066
DMD	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198947
SMARCA1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102038
PLP2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102007
ZNF711	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147180
DKC1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000130826
ZNF75D	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000186376
CHST7	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000147119
DRP2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102385
CSF2RA	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000198223
SYP	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000102003
CXCR3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000186810
THOC2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000125676
SUPT20HL2	X	ALLENOPITHECUS_NIGROVIRIDIS	M	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000223611
NDUFA1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000125356
TIMM17B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000126768
BRWD3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000165288
AIFM1	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000156709
PRICKLE3	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000012211
LAMP2	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000005893
SEPTIN6	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000125354
ABCB7	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000131269
ARHGEF9	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000131089
CTAG1B	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000184033
ACOT9	X	ALLENOPITHECUS_NIGROVIRIDIS	I	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000123130
BEND2	X	ALLENOPITHECUS_NIGROVIRIDIS	PI	Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1	ENSG00000177324
