GENE	GENE_ID	CHR	LINEAGE	CONSEQUENCE	GENE_TYPE
AC119674.1	ENSG00000260971	chr1	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC119674.1	ENSG00000260971	chr1	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC119674.1	ENSG00000260971	chr1	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01702	ENSG00000235200	chr1	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01702	ENSG00000235200	chr1	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01702	ENSG00000235200	chr1	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL136234.1	ENSG00000224326	chr1	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL136234.1	ENSG00000224326	chr1	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL136234.1	ENSG00000224326	chr1	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL450063.1	ENSG00000226970	chr1	Macaque_indian	transcript_ablation	processed_pseudogene
AL450063.1	ENSG00000226970	chr1	Marmoset	transcript_ablation	processed_pseudogene
AL450063.1	ENSG00000226970	chr1	Owl_monkey	transcript_ablation	processed_pseudogene
AL591888.1	ENSG00000285981	chr1	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL591888.1	ENSG00000285981	chr1	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL591888.1	ENSG00000285981	chr1	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC114491.1	ENSG00000224550	chr1	Macaque_indian	transcript ablation	processed_pseudogene
AC114491.1	ENSG00000224550	chr1	Marmoset	transcript ablation	processed_pseudogene
AC114491.1	ENSG00000224550	chr1	Owl_monkey	transcript ablation	processed_pseudogene
LINC01527	ENSG00000224308	chr1	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01527	ENSG00000224308	chr1	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01527	ENSG00000224308	chr1	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
HMGB3P6	ENSG00000213070	chr1	Macaque_indian	transcript ablation	processed_pseudogene
HMGB3P6	ENSG00000213070	chr1	Marmoset	transcript ablation	processed_pseudogene
HMGB3P6	ENSG00000213070	chr1	Owl_monkey	transcript ablation	processed_pseudogene
SLC25A38P1	ENSG00000229785	chr1	Macaque_indian	transcript ablation	processed_pseudogene
SLC25A38P1	ENSG00000229785	chr1	Marmoset	transcript ablation	processed_pseudogene
SLC25A38P1	ENSG00000229785	chr1	Owl_monkey	transcript ablation	processed_pseudogene
AL645568.1	ENSG00000203739	chr1	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL645568.1	ENSG00000203739	chr1	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL645568.1	ENSG00000203739	chr1	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
PTPRVP	ENSG00000243323	chr1	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
PTPRVP	ENSG00000243323	chr1	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
PTPRVP	ENSG00000243323	chr1	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
AC092810.4	ENSG00000287046	chr1	Macaque_indian	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC092810.4	ENSG00000287046	chr1	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC092810.4	ENSG00000287046	chr1	Owl_monkey	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL355472.1	ENSG00000235605	chr1	Macaque_indian	transcript ablation	processed_pseudogene
AL355472.1	ENSG00000235605	chr1	Marmoset	transcript ablation	processed_pseudogene
AL355472.1	ENSG00000235605	chr1	Owl_monkey	transcript ablation	processed_pseudogene
RPL35P1	ENSG00000237991	chr1	Macaque_indian	transcript ablation	processed_pseudogene
RPL35P1	ENSG00000237991	chr1	Marmoset	transcript ablation	processed_pseudogene
RPL35P1	ENSG00000237991	chr1	Owl_monkey	transcript ablation	processed_pseudogene
MT1HL1	ENSG00000244020	chr1	Macaque_indian	transcript ablation	protein_coding
MT1HL1	ENSG00000244020	chr1	Marmoset	transcript ablation	protein_coding
MT1HL1	ENSG00000244020	chr1	Owl_monkey	transcript ablation	protein_coding
AL590135.1	ENSG00000227854	chr1	Macaque_indian	transcript ablation	processed_pseudogene
AL590135.1	ENSG00000227854	chr1	Marmoset	transcript ablation	processed_pseudogene
AL590135.1	ENSG00000227854	chr1	Owl_monkey	transcript ablation	processed_pseudogene
AL590965.1	ENSG00000199241	chr1	Macaque_indian	transcript ablation	misc_RNA
AL590965.1	ENSG00000199241	chr1	Marmoset	transcript ablation	misc_RNA
AL590965.1	ENSG00000199241	chr1	Owl_monkey	transcript ablation	misc_RNA
AL359764.2	ENSG00000287516	chr1	Macaque_indian	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL359764.2	ENSG00000287516	chr1	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL359764.2	ENSG00000287516	chr1	Owl_monkey	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC022535.2	ENSG00000286687	chr10	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC022535.2	ENSG00000286687	chr10	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC022535.2	ENSG00000286687	chr10	Owl_monkey	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
DHTKD1	ENSG00000181192	chr10	Macaque_indian	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DHTKD1	ENSG00000181192	chr10	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
DHTKD1	ENSG00000181192	chr10	Owl_monkey	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
AL358790.1	ENSG00000282772	chr10	Macaque_indian	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
